"Solvent","Green","Renewable","Low-Carbon","Rationale"
"Water","✓","✓","✓","Universal solvent, low impact"
"Ethanol","–","✓","✓","Bio-based, low-C power"
"Cyrene","(✓)","✓","✓","Renewable electricity route"
"Acetone","(✓)","✓","✓","Renewable electricity route"
"2-MeTHF","✓","✓","–","Bio-based, not low-C"
"Ethyl acetate","✓","✓","–","Bio route, not low-C"
"Bio/e-Methanol","✓","✓","–","Bio/electric route"
"Dimethyl carbonate","✓","✓","–","Bio-based"
"Supercritical CO2","✓","–","✓","Low-carbon, not renewable"
"Ethyl lactate","✓","✓","–","Bio-based"
"Glycerol","✓","✓","–","Bio-based"
"γ-Valerolactone","✓","✓","–","Bio-based"
"Propylene carbonate","✓","✓","–","Bio-based"
"Methyl acetate","✓","✓","–","Bio route"
"Ethanol (sugarcane, low-C power)","–","✓","✓","Bio-based, low-C power"
"Bio-Butanol","✓","✓","–","Fermentation route"
"Propanol (bio)","✓","✓","–","Bio-derived alcohol"
"Isopropanol (renewable)","(✓)","✓","✓","Low-carbon production"
"Acetic acid (bio)","✓","✓","–","Bio fermentation product"
"Formic acid (electro)","(✓)","✓","✓","Electrochemical route"
"Bio-Acetaldehyde","✓","✓","–","Renewable ethanol oxidation"
"Bio-Furfural","✓","✓","–","Lignocellulosic source"
"Levulinic acid","✓","✓","–","Derived from biomass"
"Methyl levulinate","✓","✓","–","Ester of levulinic acid"
"Bio-Dimethyl ether","–","✓","✓","Low-carbon fuel"
"Eco-Methylformate","✓","✓","–","Bio methanol + CO2 route"
"Bio-Isoprene","✓","✓","–","Bio fermentation"
"Ethylene glycol (bio)","✓","✓","–","Bio-based polymer precursor"
"Propylene glycol (bio)","✓","✓","–","Glycerol hydrogenation"
"Bio-Tetrahydrofuran","✓","✓","–","Derived from renewable sugars"
"Hydrated acetone","(✓)","✓","✓","Green synthesis route"
"Eco-Acetonitrile","–","(✓)","✓","Low-carbon manufacturing"
"Bio-Dioxolane","✓","✓","–","Lignocellulosic route"
"Ethylene carbonate","✓","✓","–","Bio-based route"
"Eco-Ethylene oxide","(✓)","✓","✓","Renewable ethylene feedstock"
"Bio-DME","–","✓","✓","Bio-methanol dehydration"
"Eco-Isobutanol","✓","✓","–","Fermentation route"
"Bio-Pentanol","✓","✓","–","Fermentation derived"
"Eco-Butanone","(✓)","✓","✓","Renewable feedstock process"
"Bio-Methyl acetate","✓","✓","–","Bio-ethanol esterification"
"Eco-Propionate","✓","✓","–","Renewable acid route"
"Bio-Cyclopentanone","✓","✓","–","Lignocellulosic feedstock"
"Bio-Toluene (e-fuel)","–","(✓)","✓","Electrochemical synthesis"
"Eco-Benzaldehyde","(✓)","✓","✓","Renewable oxidation route"
"Bio-Anisole","✓","✓","–","Lignin-derived aromatic"
"Bio-Phenol","(✓)","✓","✓","Electrochemical lignin valorization"
"Bio-Formaldehyde","(✓)","✓","✓","Low-carbon methanol route"
"Bio-Acrolein","✓","✓","–","Glycerol oxidation route"
"Eco-Butanediol","✓","✓","–","Bio hydrogenation process"
"Bio-Triacetin","✓","✓","–","Glycerol esterification"
"Eco-Carbonate blend","✓","✓","–","Bio route"
"Bio-Diphenyl ether","(✓)","✓","✓","Renewable aromatic route"
"Eco-N-Butyl acetate","✓","✓","–","Bio-ethanol + acid route"
"Bio-Isobutyraldehyde","✓","✓","–","Fermentation oxidation"
"Bio-Gamma-butyrolactone","✓","✓","–","Renewable levulinic acid route"
"Eco-Hexanol","✓","✓","–","Bio hydrogenation route"
"Bio-Heptanol","✓","✓","–","Fatty acid reduction"
"Eco-Octanol","✓","✓","–","Bio-olefin hydrogenation"
"Bio-Nonanol","✓","✓","–","Renewable alcohol"
"Eco-Decanol","✓","✓","–","Bio-derived hydrocarbon"
"Bio-Undecanol","✓","✓","–","Long-chain renewable alcohol"
"Eco-Dodecanol","✓","✓","–","Fatty acid hydrogenation"
"Bio-Tridecanol","✓","✓","–","Natural oil derivative"
"Eco-Tetradecanol","✓","✓","–","Biogenic hydrogenation"
"Bio-Pentadecanol","✓","✓","–","Bio-wax route"
"Eco-Hexadecanol","✓","✓","–","Bio-based fatty route"
"Bio-Heptadecanol","✓","✓","–","Derived from natural fats"
"Eco-Octadecanol","✓","✓","–","Bio-based hydrogenation"
"Bio-Nonadecanol","✓","✓","–","Renewable wax alcohol"
"Eco-Eicosanol","✓","✓","–","Bio-oleochemical route"
"Bio-Methyl propionate","✓","✓","–","Bio route"
"Eco-Ethyl propionate","✓","✓","–","Bio route"
"Bio-Methyl butyrate","✓","✓","–","Fermentation ester"
"Eco-Ethyl butyrate","✓","✓","–","Bio-based ester"
"Bio-Methyl valerate","✓","✓","–","Bio esterification"
"Eco-Ethyl valerate","✓","✓","–","Bio-based route"
"Bio-Methyl caproate","✓","✓","–","Bio route"
"Eco-Ethyl caproate","✓","✓","–","Bio esterification"
"Bio-Methyl heptanoate","✓","✓","–","Bio-derived route"
"Eco-Ethyl heptanoate","✓","✓","–","Bio-based ester"
"Bio-Methyl octanoate","✓","✓","–","Bio-derived ester"
"Eco-Ethyl octanoate","✓","✓","–","Bio-based ester"
"Bio-Methyl nonanoate","✓","✓","–","Renewable route"
"Eco-Ethyl nonanoate","✓","✓","–","Bio route"
"Bio-Methyl decanoate","✓","✓","–","Bio-based ester"
"Eco-Ethyl decanoate","✓","✓","–","Renewable route"
"Bio-Glycol ether","✓","✓","–","Bio-based solvent"
"Eco-Diglyme","(✓)","✓","✓","Renewable ether route"
"Bio-PEG-200","✓","✓","–","Renewable polymeric solvent"
"Eco-PEG-400","✓","✓","–","Bio-based polyether"
"Bio-Triethylene glycol","✓","✓","–","Renewable ethylene feedstock"
"Eco-Diethylene glycol","✓","✓","–","Bio-based route"
"Bio-Monoethylene glycol","✓","✓","–","Renewable ethylene route"
"Eco-Glycerol carbonate","✓","✓","–","Bio glycerol route"
"Bio-Urea solution","(✓)","✓","✓","Electrochemical synthesis"
"Eco-Formamide","(✓)","✓","✓","Renewable formic acid route"
"Bio-Morpholine","✓","✓","–","Renewable amine route"
"Eco-Pyridine","(✓)","✓","✓","Renewable synthesis"
"Bio-NMP alternative","✓","✓","–","Non-toxic green route"
"Eco-DES mixture","✓","✓","–","Deep eutectic solvent"
"Bio-Choline chloride","✓","✓","–","Renewable DES base"
"Eco-Malonate ester","✓","✓","–","Bio-based ester"
"Bio-Succinate ester","✓","✓","–","Renewable acid route"
"Eco-Adipate ester","✓","✓","–","Bio-based plasticizer"
"Bio-Itaconate","✓","✓","–","Renewable monomer"
"Eco-Lactamide","✓","✓","–","Bio-based amide route"
"Bio-Acetamide","✓","✓","–","Renewable nitrogen solvent"
"Eco-Caprolactam","(✓)","✓","✓","Low-carbon synthesis"
"Bio-Dimethyl sulfoxide","(✓)","✓","✓","Renewable oxidation route"
"Eco-Sulfolane","(✓)","✓","✓","Low-carbon sulfur process"
"Bio-Dibasic ester mix","✓","✓","–","Renewable ester blend"
"Eco-Isosorbide dimethyl ether","✓","✓","–","Bio glucose route"
"Bio-Isosorbide diacetate","✓","✓","–","Bio-based polymer solvent"
"Eco-Ethyl lactate blend","✓","✓","–","Renewable ester solvent"
"Bio-Propylene carbonate blend","✓","✓","–","Bio route"
"Eco-Methyl carbonate blend","✓","✓","–","Bio-based solvent"
"Bio-Triethyl citrate","✓","✓","–","Renewable citrate ester"
"Eco-Ethyl citrate","✓","✓","–","Bio-based plasticizer"
"Bio-Methyl citrate","✓","✓","–","Renewable ester route"
"Eco-Propyl lactate","✓","✓","–","Renewable ester"
"Bio-Isobutyl lactate","✓","✓","–","Renewable route"
"Eco-Tert-butyl lactate","✓","✓","–","Bio-based route"
"Bio-Isopropyl lactate","✓","✓","–","Renewable ester"
"Eco-Methyl glycolate","✓","✓","–","Bio-based ester"
"Bio-Ethyl glycolate","✓","✓","–","Renewable synthesis"
"Eco-Propyl glycolate","✓","✓","–","Bio-based route"
"Bio-Isopropyl glycolate","✓","✓","–","Renewable route"
"Eco-Methyl oxalate","✓","✓","–","Bio-derived ester"
"Bio-Ethyl oxalate","✓","✓","–","Renewable oxalic acid route"
"Eco-Dimethyl malonate","✓","✓","–","Bio-based route"
"Bio-Diethyl malonate","✓","✓","–","Renewable ester"
"Eco-Methyl succinate","✓","✓","–","Bio-based ester"
"Bio-Ethyl succinate","✓","✓","–","Renewable ester"
"Eco-Dimethyl adipate","✓","✓","–","Bio route"
"Bio-Diethyl adipate","✓","✓","–","Renewable route"
