Solvent,Green,Renewable,Low-Carbon
Benzene,–,–,–
Toluene,–,(✓),(✓)
Xylenes (o-/m-/p-),–,(✓),(✓)
Ethylbenzene,–,(✓),(✓)
Chloroform,–,–,–
Dichloromethane (DCM),–,–,–
Carbon tetrachloride,–,–,–
"1,2‑Dichloroethane",–,–,–
"1,4‑Dioxane",–,–,–
THF,–,(✓),–/(✓)
N‑Methyl‑2‑pyrrolidone (NMP),–,–,–
Dimethylformamide (DMF),–,–,–
Dimethylacetamide (DMAc),–,–,–
Acetonitrile,–,–,–
Acrylonitrile,–,–,–
Nitrobenzene,–,–,–
Aniline,–,–,–
Pyridine,–,–,–
Methanol,–,(✓),(✓)
Cyclohexane,–,(✓),(✓)
n‑Hexane,–,(✓),(✓)
